lat,long
-7.772497,110.381249
48.993728,30.450041
42.250746,-71.120178
35.51597,139.474241
-17.113889,-43.821979
42.237954,-8.716148
-6.273224,106.913327
3.57234,98.66925
33.884585,-85.927754
-3.759331,-38.606345
40.974016,29.113584
-5.41939,105.25179
38.013001,-3.369302
32.783631,130.776426
14.835508,120.921649
40.059813,-0.440181
51.510931,-0.047617
10.250035,123.802508
-6.377,106.7329
33.036225,130.477581
53.481723,-2.24577
30.083678,-94.14263
12.2319,45.4824
-6.452733,106.854047
10.080932,-69.327818
5.405121,100.293053
37.544841,-77.430729
64.804147,-147.978729
48.821994,2.349438
-7.32255,110.49787
14.610059,121.088358
-29.899107,-51.217963
36.679841,138.971356
-12.967748,-38.435026
28.00904,-81.791897
49.419453,7.612417
35.376006,139.532414
40.517854,141.509648
48.860354,2.514983
51.509904,-0.136255
51.564732,9.89011
-6.223708,107.083565
16.084534,120.407501
35.761961,139.529083
-7.56375,110.26665
37.065662,28.355112
14.494276,120.990045
39.96158,-75.602968
-28.998373,-49.759509
14.977152,120.536296
14.06626,-87.185881
41.290216,-85.733669
41.413855,2.180367
55.791529,49.183242
-23.537968,-46.440767
38.866195,-94.65864
37.34816,127.114121
-22.883475,-43.232011
-6.339923,106.762548
38.784921,-76.872096
40.002082,-74.227973
51.650297,-0.126262
40.639743,-73.987788
55.918271,-3.3161
-31.743911,-60.510322
44.894947,-92.873325
50.961597,7.024714
30.530009,-87.222586
3.54484,98.647684
53.220515,-4.119594
55.475043,-4.287753
40.975168,27.951262
-7.250479,-35.893214
33.282943,131.505031
38.924015,-77.055169
48.939233,2.42843
-23.159687,-45.893757
1.452423,110.43217
37.96508,-1.146025
-25.124578,-48.855081
1.339875,124.835165
51.111402,-0.150025
14.690257,121.036945
48.616086,2.460548
51.377278,-2.808041
-6.324625,106.816703
36.338294,138.595369
0.6296,101.40829
48.984194,1.691961
38.780628,-90.399768
51.524625,-3.140576
38.596239,-0.129759
6.259722,100.415182
32.07861,20.062752
38.414913,-75.692901
4.962318,114.974449
39.267898,-77.844888
52.812657,6.126401
-7.863231,111.445296
39.53269,2.735454
-20.35086,-40.303979
-26.871276,-58.306872
35.763975,139.924732
14.680635,121.024294
37.813194,23.778833
-6.26961,106.84775
41.367961,-89.088146
32.55888,-93.706969
33.921837,-78.297902
-6.30293,106.97209
19.051724,-98.224447
6.147454,125.162837
-23.665752,-46.559535
42.046712,-87.681172
-6.920921,107.605159
28.397307,36.538569
-10.938457,-37.064349
0,0
51.886811,0.903314
-25.751407,28.179967
31.134197,-84.165291
-7.71255,109.030128
1.671664,103.605165
42.070369,-71.632779
38.729862,35.580439
-6.186727,106.648757
40.358711,-3.559272
39.865469,-1.083293
37.61495,36.372618
40.749235,-73.579646
-18.887895,-41.963791
39.362685,-9.379733
36.105698,136.288188
3.493883,98.782034
45.837254,1.245512
16.778771,101.248517
43.898385,8.035205
39.712586,-86.08731
6.19624,-75.574221
-5.143797,119.441347
10.302001,123.876146
41.298834,36.316166
61.080712,42.066067
40.1766,-75.11123
6.259659,100.415123
18.44877,-69.98287
1.375567,103.769892
48.067135,7.623687
40.555497,34.959387
37.256855,-82.923607
26.31839,127.792254
36.560235,140.628294
6.259836,100.41411
14.613373,121.002906
47.007255,-122.8165
42.010244,-5.672491
34.081052,-118.219625
52.528872,103.854965
35.643995,139.805745
19.415208,-99.063282
4.405629,-75.15368
-16.02155,-49.807025
-6.91973,109.13455
35.326189,139.454472
-29.864242,-50.080665
34.07257,134.396739
0,0
41.264113,36.377375
-7.136151,110.412245
1.449523,103.594802
37.264633,-86.669483
19.767253,96.200497
